Borough,Address,Address1,OrganizationName,Faith_Based_Organization,Foundation,New_York_City_Agency,Nonprofit
MN,26 BLEECKER STREET,26 Bleecker Street,Planned Parenthood of New York City,N,N,N,Y
QN,228-06 NORTHERN BOULEVARD,228-06 Northern Boulevard,Alley Pond Environmental Center,N,N,N,Y
BK,1901 OCEAN PARKWAY,1901 Ocean Parkway,Sephardic Community Youth Center,N,N,N,Y
MN,651 ACADEMY STREET,651 Academy Street,Inwood Community Services, Inc.,N,N,N,Y
MN,405 MAIN STREET,405 Main Street,USIF World Foundation for Medical Studies in Female Health,N,N,N,Y
BK,460 NOSTRAND AVENUE,460 Nostrand Avenue,Bridge Street Development Corporation,N,N,N,Y
SI,485 CLAWSON STREET,485 Clawson Street,United Activities Unlimited, Inc.,N,N,N,Y
BK,64 BEAVER STREET,64 Beaver Street,Girls Incorporated of New York City,N,N,N,Y
MN,120 WALL STREET,120 Wall Street,Center for Reproductive Rights,N,N,N,Y
MN,120 WALL STREET,120 Wall Street,Catalyst, Inc.,N,N,N,Y
MN,120 WALL STREET,120 Wall Street,Jewish Child Care Association,N,N,N,Y
SI,350 BROADWAY,350 Broadway,LIFT (Legal Information for Families Today),N,N,N,Y
MN,826 BROADWAY,826 Broadway,Robin Hood Foundation,N,N,N,Y
MN,325 EAST 101 STREET,325 East 101 Street,My Life My Soul, The Unspoken Journey of Life After Domestic Abuse,N,N,N,Y
MN,295 LAFAYETTE STREET,295 Lafayette Street,Safe Space NYC, Inc.,N,N,N,Y
MN,4271 BROADWAY,4271 Broadway,Children's Arts & Science Workshops, Inc.,N,N,N,Y
BX,1776 CLAY AVENUE,1776 Clay Avenue,East Harlem Council For Community Improvement,N,N,N,Y
BK,388 ATLANTIC AVENUE,388 Atlantic Avenue,The Brooklyn Young Mothers' Collective,N,N,N,Y
BK,767 HICKS STREET,767 Hicks Street,Red Hook Initiative,N,N,N,Y
BK,272 MOFFAT STREET,272 Moffat Street,Bushwick Community Action Association, Inc.,N,N,N,Y
BK,350 BROADWAY,350 Broadway,LIFT (Legal Information for Families Today),N,N,N,Y
BK,3295 FULTON STREET,3295 Fulton Street,Cypress Hills Child Care Corporation,N,N,N,Y
