Borough,Address,Block,Lot,Energy Star Score,Source EUI,Site EUI,Annual Maximum Demand,Total GHG Emissions
MN,229 9 AVENUE,722,37,1,298.5,187.1,,317
MN,440 EAST 91 STREET,1570,29,1,354.5,162.5,,321.3
MN,411 2 AVENUE,904,29,1,194,146.2,,268.8
BX,3151 PERRY AVENUE,3341,16,3,186,154,,476.2
BX,1956 CROTONA PARKWAY,2985,38,5,143.1,97.2,,450.2
BK,308 STERLING STREET,1321,6,4,161,119.2,,349.2
MN,536 WEST 153 STREET,2084,53,3,193.1,147,,243.7
BK,1715 KINGS HIGHWAY,6780,12,2,154.6,97.6,,313.9
QN,140-30 BEECH AVENUE,5186,19,1,267.8,233,,321.6
MN,608 WEST 175 STREET,2144,66,1,607.2,222.6,,1183.4
MN,321 EAST 45 STREET,1338,12,3,164.6,127.7,,461.2
BX,968 BRONX PARK SOUTH,3134,9,1,183.8,148.4,,273.6
BX,110 MT HOPE PLACE,2805,12,6,156.5,116.1,,466.3
BX,2078 MORRIS AVENUE,3169,9,3,183.4,150.3,,675.6
MN,20 RIVER TERRACE,16,180,6,181,109.6,,2529.8
MN,120 RIVERSIDE BOULEVARD,1171,7504,2,182.9,117.5,,2178.8
BK,435 EAST 92 STREET,4667,46,4,168.4,136.5,,221.1
MN,145 AUDUBON AVENUE,2129,30,3,168.4,128.5,,290.1
MN,15 CHARLES STREET,612,7504,1,253.1,175.7,,1116.3
MN,2609 BROADWAY,1870,52,5,290.2,117.3,,289.9
BX,940 EAST 174 STREET,2990,22,1,225.9,152.1,,245.5
MN,87 GREENWICH AVENUE,615,36,5,160.5,100.6,,567.1
BK,52 92 STREET,6099,7501,5,158.8,91.3,,211.4
MN,562 WEST 193 STREET,2161,45,1,232.5,181.8,,485.9
SI,22 HOWARD AVENUE,595,15,1,580.5,270.3,,434.3
SI,801 NARROWS ROAD NORTH,631,71,1,231.2,90.4,260,450.3
SI,100 ESSEX DRIVE,2450,320,4,284.5,107.9,1173.6,1678.8
SI,145 WELLINGTON COURT,2452,7503,1,280,112.3,,425.6
MN,425 3 AVENUE,910,61,5,216.2,127.2,,552.7
QN, QUEENS BOULEVARD,3238,14,6,434.9,169,,1891.9
QN,80-18 ROCKAWAY BEACH BLVD,16113,9,2,443.5,155.6,,352.4
MN,50 THAYER STREET,2174,24,1,548.3,178,,860.6
MN,150 NASSAU STREET,100,7501,1,232.1,120.3,,1349.4
MN,40 BOND STREET,530,7505,5,161.4,83.9,,474.5
MN,144 WEST 14 STREET,609,7503,2,248.2,124.7,,568
MN,17 WEST 32 STREET,834,29,5,215.6,119.1,,691.7
MN,30 EAST 21 STREET,849,55,1,212.7,136.2,,351.2
MN,77 WEST 68 STREET,1121,1,4,176.7,160.4,,339.7
MN,139 WEST 73 STREET,1145,17,1,643.1,281.9,,2614.9
MN,309 WEST 93 STREET,1252,44,3,179.3,144.2,,260.8
MN,40 WEST 44 STREET,1259,14,1,200.4,73.1,,283.3
BK,108 FENIMORE STREET,5042,31,2,178.7,147.4,,333.4
MN,980 5 AVENUE,1491,1,2,162.1,93.3,,1508.8
MN,26 EAST 91 STREET,1502,56,1,319,209,,421.3
BX,4360 BAYCHESTER AVENUE,5057,27,1,253.8,179.4,,510.9
MN,306 WEST 100 STREET,1888,76,1,204.4,177.5,,404.1
BX,162 WEST 165 STREET,2525,20,3,182.8,134.6,,251.7
MN,2659 BROADWAY,1873,10,1,254.1,154.4,,470.6
QN,154-02 71 AVENUE,6793,126,1,186.8,142.2,,2055.8
BX,351 EAST 152 STREET,2411,142,6,154.6,105.8,,320.2
MN,111 CENTRAL PARK NORTH,1820,7503,1,180.9,87.1,,680.4
BK,8201 4 AVENUE,6008,6,1,505.9,462.4,,1518
BX,696 RHINELANDER AVENUE,4049,35,1,251.7,165.5,,277.8
MN,1327 MADISON AVENUE,1505,7502,2,201.9,144.1,,2574.7
MN,2000 BROADWAY,1140,7502,5,155.4,75.8,,1573.7
MN,111 WORTH STREET,170,20,1,296.3,185.6,,2909.1
MN,500 WEST 53 STREET,1081,7502,5,200.6,120.9,,2054.8
QN,78-19 37 AVENUE,1278,38,3,165.8,59.2,,136.9
BX,3220 ARLINGTON AVENUE,5788,7501,2,139.9,85.3,,405
BK,88 CHAUNCEY STREET,1691,12,2,237,106.5,,2158.4
BK,2775 EAST 16 STREET,8771,101,1,347.1,312.1,,1884.5
QN,130-30 31 AVENUE,4360,1,6,135.4,68.2,,636.3
BX,1925 MONTEREY AVENUE,3060,21,4,163.9,121.4,,318.5
MN,70 BATTERY PLACE,16,7517,1,262.4,164.3,,4670.9
BX,1490 BOSTON ROAD,2965,51,3,185.6,125.5,,739.7
MN,200 WEST 26 STREET,775,44,4,176.1,101.9,,1843.9
BK,250 CLARKSON AVENUE,5066,31,5,176.8,145.8,,807.6
MN,676 AMSTERDAM AVENUE,1240,36,2,220.7,144.2,,605.8
MN,100 WEST 94 STREET,1224,29,1,337,241.1,,3420.9
MN,2532 ADAM C POWELL BLVD,2032,34,7,191.7,131.4,184,792.5
MN,253 SHERMAN AVENUE,2223,12,2,218.5,155.7,,509.3
BK,450 EAST 34 STREET,4918,25,5,184.2,150.3,,511.2
BX,1505 TOWNSEND AVENUE,2846,74,2,163.8,132.6,,673.9
BK,150 EAST 19 STREET,5122,21,2,199.5,168.8,,476
BX,158 WEST 168 STREET,2528,19,7,172.8,112.4,,417.4
QN,35-02 36 STREET,639,16,1,408.2,157.5,1101.6,1604.2
QN,10-63 JACKSON AVENUE,42,7501,3,187.7,103.4,,261.4
BK,601 79 STREET,5972,1,6,147.2,125.2,,1067.8
MN,699 BROADWAY,546,40,1,7343.5,7095.9,,43789.8
MN,200 NORTH END AVENUE,16,7520,2,177,77,,2555.2
BX,2200 AQUEDUCT AVENUE EAST,3208,1,1,195.8,128.1,,454.8
BX,2115 RYER AVENUE,3156,150,1,183.5,129.9,,484.2
BX,2176 TIEBOUT AVENUE,3143,130,1,215.2,163.3,,501.6
BX,65 FEATHERBED LANE,2876,31,4,160.4,119,,261
MN,53 EAST HOUSTON STREET,509,26,1,216.8,146.1,,226.8
MN,214 WEST HOUSTON STREET,528,12,1,407.5,216.8,,948.5
BX,200 WEST 167 STREET,2527,58,6,259.6,121.2,345.6,472.5
QN,40-22 COLLEGE POINT BLVD,5066,7503,2,176,117,360,2733.9
MN,1031 AVENUE OF THE AMER,814,7501,4,303.4,132.4,,2115
MN,848 WASHINGTON STREET,645,11,1,550.2,275.3,,3927.4
MN,415 EAST 54 STREET,1366,7501,1,230.9,116.7,,1543.7
BX,3511 BARNES AVENUE,4659,31,6,177.1,131.5,,1412.1
BX,1221 WHITE PLAINS ROAD,3767,82,1,193.8,155.5,,854.7
BX,2188 CRESTON AVENUE,3162,11,7,189.9,144.1,,376.8
BX,2680 PARK AVENUE,2340,145,5,143.1,76.4,,585.3
BX,1346 CLINTON AVENUE,2934,19,5,158.8,91.7,,287.5
MN,142 EAST 33 STREET,888,55,1,311.9,201.7,,451.3
BX,2654 VALENTINE AVENUE,3300,3,1,357.4,280.7,,537.1
BX,999 EAST 180 STREET,3138,1,6,207,93.2,1016.6,1879.6
MN,49 WEST 24 STREET,826,11,3,178.7,74.4,,236.8
QN,150-24 NORTHERN BOULEVARD,5032,16,4,442.9,173.6,,682.7
QN,138-06 78 AVENUE,6609,7,3,167.9,154.9,,450.6
MN,200 CHAMBERS STREET,142,7502,1,171.3,84.9,,2421.2
QN,94-40 210 STREET,10542,103,1,183.1,139.3,,278.7
MN,285 WEST BROADWAY,211,18,1,183.4,97.9,,212.5
MN,338 EAST 8 STREET,390,7502,2,196.7,110.4,,544.4
MN,211 ELIZABETH STREET,493,7501,1,197.2,101.9,,181.7
MN,188 AVENUE OF THE AMER,504,11,3,167.3,119.7,,241.2
MN,677 WASHINGTON STREET,631,7502,3,173,104.1,,632.2
BX,2707 SEDGWICK AVENUE,3253,1,1,264.4,193.3,,803.8
BK,663 HOWARD AVENUE,3512,1,1,261.1,191.2,,702.7
BK,373 96 STREET,6117,36,2,192.9,118.6,,259.7
BK,1325 EAST 19 STREET,6748,88,3,164.7,140.8,,281.4
MN,1 JACOBUS PLACE,2215,339,2,179.1,144.4,,618.9
MN,87 DELANCEY STREET,333,1,1,275.4,200.6,,17956.4
BX,1358 SHERIDAN AVENUE,2830,25,3,206.3,163.8,,238.6
BX,1434 OGDEN AVENUE,2522,70,5,157.7,100.8,,656.9
MN,163 WEST 18 STREET,794,7502,1,188,118.4,,349.2
MN,22 WEST 15 STREET,816,7501,3,140.7,78.3,,683.7
MN,420 PARK AVENUE SOUTH,858,45,1,338,221.3,,2909.9
MN,111 EAST 30 STREET,886,7501,4,155.5,57.7,36.8,390.5
MN,184 LEXINGTON AVENUE,887,23,6,173.9,97.9,,660.1
MN,240 CENTRAL PARK SOUTH,1030,58,4,183.3,116.3,,2961.6
MN,2 TIMES SQUARE,1019,7501,1,444,193.5,,3614.3
MN,347 WEST 57 STREET,1048,7501,7,163.2,113.1,,1617.4
MN,386 COLUMBUS AVENUE,1150,7502,7,194.1,89.4,,178
MN,525 PARK AVENUE,1395,7503,1,233.9,116.8,,990.9
MN,224 EAST 60 STREET,1414,7501,4,200,129.2,,1060.4
MN,1660 2 AVENUE,1549,1,2,178.3,125.2,,5144.4
MN,1652 1 AVENUE,1566,1,2,226.6,141.8,,1635.5
MN,611 5 AVENUE,1285,7501,7,551.5,215.3,,6375.4
MN,201 WEST 11 STREET,614,61,1,275.8,175,,495.2
BX,386 EAST FORDHAM ROAD,3026,20,3,273,131.5,,556.3
QN,18-39 42 STREET,791,16,1,223.6,105.2,,125.4
MN,231 SHERMAN AVENUE,2223,1,1,247.7,182.8,,509
MN,144 SHERMAN AVENUE,2225,42,2,175.4,120.3,,311.2
SI,4343 AMBOY ROAD,5497,7,6,435.5,261.8,268.8,1033.1
QN,47-05 METROPOLITAN AVENUE,2611,480,1,1277.4,406.8,,2236.2
BK,100 APOLLO STREET,2666,101,2,118.1,66,,359.7
BK,7 HEGEMAN AVENUE,3621,1,1,347.3,298.2,,2610.1
BK,200 EAST 17 STREET,5120,21,1,186.9,154.9,,547.9
MN,14 EAST 4 STREET,531,7501,1,192.7,94.9,,1039.2
BX,3500 EDSON AVENUE,4894,1,3,342.9,135.4,264,394.6
QN,97-40 43 AVENUE,1628,21,2,291.3,115.3,480,967.8
BK,500 MONTGOMERY STREET,1309,49,6,155.6,118.3,,224.8
BK,280 LIVONIA AVENUE,3590,11,1,224.5,174.3,,2979
QN,31-10 48 AVENUE,285,1,5,136.6,82.6,,441.7
BK,1075 SHEEPSHEAD BAY ROAD,7397,1,7,192.1,133.1,,713.4
QN,39-60 54 STREET,1238,40,7,152.2,119.4,,1431.5
BX,2008 BRYANT AVENUE,3136,1,4,211.9,175.8,,1184.3
MN,139 WOOSTER STREET,515,7501,1,220.8,110.2,,302.1
MN,27 AVENUE B,385,5,1,219.4,141.9,,305.2
BX,861 EAST 163 STREET,2690,173,2,194.6,144.2,,625.7
