Borough,Address,Building Class
BK,81 PROSPECT STREET,O6
MN,145 WEST 30 STREET,O6
MN,115 WEST 30 STREET,O6
MN,39 WEST 19 STREET,O6
MN,117 EAST 55 STREET,O8
MN,35 WEST 45 STREET,O6
MN,183 VARICK STREET,O5
BK,117 DOBBIN STREET,O5
QN,5-44 47 AVENUE,O5
BK,336 VAN BRUNT STREET,O5
SI,702 CASTLETON AVENUE,O5
QN,38-02 31 AVENUE,O8
SI,278 LINCOLN AVENUE,O5
SI,318 CLOVE ROAD,O8
SI,1003 RICHMOND AVENUE,O8
MN,48 HOWARD STREET,O5
BK,1523 AVENUE M,O5
QN,214-45 42 AVENUE,O5
BK,4417 13 AVENUE,O5
BK,1902 KINGS HIGHWAY,O5
BK,2091 CONEY ISLAND AVENUE,O5
BK,1301 CONEY ISLAND AVENUE,O5
BX,1208 WYATT STREET,O5
SI,144 SIMONSON AVENUE,O8
MN,246 WEST BROADWAY,O5
QN,37-02 82 STREET,O5
MN,16 MOTT STREET,O5
QN,136-38 39 AVENUE,O6
MN,451 BROADWAY,O5
MN,434 BROADWAY,O6
MN,459 BROADWAY,O5
QN,135-16 ROOSEVELT AVENUE,O5
QN,132-07 41 ROAD,O8
MN,486 BROADWAY,O5
SI,400 ST MARKS PLACE,O8
MN,535 GREENWICH STREET,O5
SI,115 SEGUINE AVENUE,O8
MN,155 WEST 23 STREET,O6
MN,67 GANSEVOORT STREET,O5
MN,310 5 AVENUE,O6
MN,544 AVENUE OF THE AMER,O5
MN,57 WEST 28 STREET,O5
MN,114 5 AVENUE,O6
BX,5602 BROADWAY,O5
BX,5606 BROADWAY,O5
MN,102 MADISON AVENUE,O6
BK,245 GLENMORE AVENUE,O5
BK,656 PENNSYLVANIA AVENUE,O5
QN,165-17 JAMAICA AVENUE,O5
MN,332 EAST 59 STREET,O6
BK,2697 ATLANTIC AVENUE,O8
MN,75 MAIDEN LANE,O6
BK,2444 86 STREET,O5
BK,3420 AVENUE N,O8
BK,2518 OCEAN AVENUE,O8
SI,3875 VICTORY BOULEVARD,O5
MN,35 WEST 31 STREET,O6
MN,26 EAST 125 STREET,O5
MN,52 WALKER STREET,O5
MN,91 WALKER STREET,O6
MN,412 BROADWAY,O6
MN,254 CANAL STREET,O5
MN,177 CANAL STREET,O5
MN,240 CANAL STREET,O5
MN,77 CHAMBERS STREET,O5
MN,70 BOWERY,O5
MN,102 MULBERRY STREET,O5
MN,181 CANAL STREET,O5
MN,191 CANAL STREET,O5
