Borough,Address,Block,Lot,Energy Star Score,Source EUI,Site EUI,Annual Maximum Demand,Total GHG Emissions
BX,922 HOE AVENUE,,,,,,,
BX,711 EAST 230 STREET,,,,,,,
BX,2640 DAVIDSON AVENUE,,,,,,,
BX,3640 BRONX BOULEVARD,,,,,,,
BX,565 PROSPECT AVENUE,,,,,,,
QN,26-21 UNION STREET,,,,,,,
MN,530 EAST 72 STREET,,,,,,,
MN,330 EAST 56 STREET,,,,,,,
MN,320 EAST 57 STREET,,,,,,,
MN,160 EAST 26 STREET,,,,,,,
BK,420 EAST 21 STREET,,,,,,,
MN,2211 8 AVENUE,,,,,,,
BX,1088 ANDERSON AVENUE,,,,,,,
MN,3420 BROADWAY,,,,,,,
BK,386 SOUTH 5 STREET,,,,,,,
MN,3926 BROADWAY,,,,,,,
BX,306 EAST 180 STREET,,,,,,,
MN,3488 BROADWAY,,,,,,,
MN,583 BROADWAY,,,,,,,
QN,53-00 65 PLACE,,,,,,,
MN,131 EAST 83 STREET,,,,,,,
MN,518 WEST 139 STREET,,,,,,,
MN,195 HUDSON STREET,,,,,,,
BX,1411 TOWNSEND AVENUE,,,,,,,
MN,300 EAST 79 STREET,,,,,,,
BX,1750 GRAND AVENUE,,,,,,,
MN,324 WEST 83 STREET,,,,,,,
QN,71-61 159 STREET,,,,,,,
MN,1114 1 AVENUE,,,,,,,
MN,32 WEST 18 STREET,,,,,,,
BX,2407 MORRIS AVENUE,,,,,,,
MN,50 WEST 127 STREET,,,,,,,
BK,53 FRANKLIN AVENUE,,,,,,,
BK,525 EAST 21 STREET,,,,,,,
BX,2332 TIEBOUT AVENUE,,,,,,,
BX,235 CYPRESS AVENUE,,,,,,,
BX,903 SUMMIT AVENUE,,,,,,,
QN,271 BEACH 17 STREET,,,,,,,
MN,2733 BROADWAY,,,,,,,
MN,2440 AMSTERDAM AVENUE,,,,,,,
MN,131 BROOME STREET,,,,,,,
MN,33 WEST END AVENUE,,,,,,,
MN,120 WEST 105 STREET,,,,,,,
MN,894 BROADWAY,,,,,,,
BK,79 BRISTOL STREET,,,,,,,
MN,234 WEST 13 STREET,,,,,,,
BX,357 EAST 195 STREET,,,,,,,
MN,236 5 AVENUE,,,,,,,
QN,45-35 VAN DAM STREET,,,,,,,
QN,20-25 SHORE BOULEVARD,,,,,,,
BK,3900 SHORE PARKWAY,,,,,,,
QN,,,,,,,,
MN,53 PARK PLACE,,,,,,,
SI,950 WEST FINGERBOARD RD,,,,,,,
QN,68-01 BELL BOULEVARD,,,,,,,
BX,1029 FREEMAN STREET,,,,,,,
BX,462 EAST 144 STREET,,,,,,,
QN,55-15 LITTLE NECK PARKWAY,,,,,,,
SI,999 FOREST AVENUE,,,,,,,
BK,249 CUMBERLAND STREET,,,,,,,
MN,517 EAST 86 STREET,,,,,,,
MN,80 WEST STREET,,,,,,,
MN,120 EAST 23 STREET,,,,,,,
BX,819 EAST 173 STREET,,,,,,,
BX,1890 CROTONA PARKWAY,,,,,,,
BX,2550 OLINVILLE AVENUE,,,,,,,
BX,4305 CARPENTER AVENUE,,,,,,,
BK,510 WAVERLY AVENUE,,,,,,,
BK,2558 EAST 18 STREET,,,,,,,
QN,73-04 QUEENS BOULEVARD,,,,,,,
BX,1465 JESUP AVENUE,,,,,,,
QN,,,,,,,,
MN,111 FULTON STREET,,,,,,,
BX,2304 SEDGWICK AVENUE,,,,,,,
BX,231 WEST 246 STREET,,,,,,,
MN,139 8 AVENUE,,,,,,,
BK,1120 BRIGHTON BEACH AVE,,,,,,,
BK,575 OCEAN AVENUE,,,,,,,
MN,15 BROAD STREET,,,,,,,
BK,762 60 STREET,,,,,,,
BK,1901 EMMONS AVENUE,,,,,,,
MN,782 MADISON AVENUE,,,,,,,
QN,37-43 88 STREET,,,,,,,
MN,241 5 AVENUE,,,,,,,
MN,3441 BROADWAY,,,,,,,
MN,225 LAFAYETTE STREET,,,,,,,
BX,448 EAST 149 STREET,,,,,,,
BK,55 WYTHE AVENUE,,,,,,,
BK,1 MAIN STREET,,,,,,,
BX,1509 JEROME AVENUE,,,,,,,
BX,1425 PLAZA DRIVE,,,,,,,
MN,2050 2 AVENUE,,,,,,,
QN,21-09 19 STREET,,,,,,,
BK,1304 NEW YORK AVENUE,,,,,,,
BX,1104 MANOR AVENUE,,,,,,,
BX,1056 SHERMAN AVENUE,,,,,,,
QN,144-12 34 AVENUE,,,,,,,
MN,110 LEROY STREET,,,,,,,
MN,202 WEST 141 STREET,,,,,,,
MN,15 UNION SQUARE WEST,,,,,,,
MN,146 WEST 140 STREET,,,,,,,
BX,684 EAST 222 STREET,,,,,,,
MN,825 5 AVENUE,,,,,,,
MN,91 BOWERY,,,,,,,
MN,36 WEST 44 STREET,,,,,,,
MN,133 WEST 11 STREET,,,,,,,
QN,136-17 MAPLE AVENUE,,,,,,,
QN,213-11 43 AVENUE,,,,,,,
BX,1300 FTELEY AVENUE,,,,,,,
BK,23 CATON PLACE,,,,,,,
MN,170 EAST END AVENUE,,,,,,,
QN,18-05 215 STREET,,,,,,,
BX,1141 ELDER AVENUE,,,,,,,
MN,70 MARBLE HILL AVENUE,,,,,,,
MN,511 WEST 189 STREET,,,,,,,
BK,114 ALBEMARLE ROAD,,,,,,,
BX,4128 CARPENTER AVENUE,,,,,,,
MN,7 CHATHAM SQUARE,,,,,,,
BX,100 EAST 182 STREET,,,,,,,
QN,245-24 76 AVENUE,,,,,,,
BK,5031 FLATBUSH AVENUE,,,,,,,
MN,99 MADISON AVENUE,,,,,,,
MN,87 ELLWOOD STREET,,,,,,,
MN,228 NAGLE AVENUE,,,,,,,
BX,1826 WHITE PLAINS ROAD,,,,,,,
BX,420 EAST 146 STREET,,,,,,,
BK,1015 AVENUE N,,,,,,,
BX,284 EAST 206 STREET,,,,,,,
MN,219 WEST 145 STREET,,,,,,,
MN,225 WEST 146 STREET,,,,,,,
MN,608 5 AVENUE,,,,,,,
MN,1641 ST NICHOLAS AVENUE,,,,,,,
BK,2920 WEST 28 STREET,,,,,,,
BX,51 WEST BURNSIDE AVENUE,,,,,,,
QN,81-09 41 AVENUE,,,,,,,
BX,224 NAPLES TERRACE,,,,,,,
BX,1015 BOYNTON AVENUE,,,,,,,
MN,350 WEST 53 STREET,,,,,,,
QN,71-50 AUSTIN STREET,,,,,,,
QN,142-30 SANFORD AVENUE,,,,,,,
BK,99 OCEAN AVENUE,,,,,,,
MN,162 LENOX AVENUE,,,,,,,
BK,590 BEDFORD AVENUE,,,,,,,
MN,618 ACADEMY STREET,,,,,,,
MN,447 WEST 45 STREET,,,,,,,
MN,1864 AMSTERDAM AVENUE,,,,,,,
BX,1990 ELLIS AVENUE,,,,,,,
BX,1158 BOYNTON AVENUE,,,,,,,
BX,2344 DAVIDSON AVENUE,,,,,,,
MN,50 FRANKLIN STREET,,,,,,,
BX,2186 GRAND CONCOURSE,,,,,,,
BK,318 MARCY AVENUE,,,,,,,
BX,919 PROSPECT AVENUE,,,,,,,
BK,8718 RIDGE BOULEVARD,,,,,,,
MN,1498 2 AVENUE,,,,,,,
MN,200 WEST 24 STREET,,,,,,,
QN,72-25 AUSTIN STREET,,,,,,,
BX,645 BARRETTO STREET,,,,,,,
MN,15 WAVERLY PLACE,,,,,,,
BX,124 ELLIOT PLACE,,,,,,,
MN,220 EAST 70 STREET,,,,,,,
BK,245 STEWART AVENUE,,,,,,,
MN,234 EAST 23 STREET,,,,,,,
BK,2744 BEDFORD AVENUE,,,,,,,
MN,303 10 AVENUE,,,,,,,
BX,555 HUTCHINSON RVR PKWY,,,,,,,
MN,195 BOWERY,,,,,,,
BK,333 WAVERLY AVENUE,,,,,,,
QN,155-31 155 AVENUE,,,,,,,
