Borough,Address,Year Built,Building Class
BK,177 9 STREET,1931,F5
BX,1141 BURNETT PLACE,1930,F5
BK,21 BOX STREET,1931,O1
BK,23 BOGART STREET,1931,F5
QN,156-25 LIBERTY AVENUE,1960,F5
BK,139 42 STREET,1982,F5
MN,19 HOWARD STREET,1814,F5
QN,159-11 LINDEN BOULEVARD,1931,O1
BK,1372 39 STREET,1931,F5
QN,46-46 METROPOLITAN AVENUE,1950,F5
QN,242-14 MERRICK BOULEVARD,1989,O1
BK,1540 63 STREET,1931,F5
QN,16-15 WEIRFIELD STREET,1953,F5
QN,16-62 STEPHEN STREET,1931,F5
QN,58-38 ST FELIX AVENUE,1931,F5
BK,38 COFFEY STREET,1931,F5
BK,237 KENT STREET,1982,F5
QN,57-57 47 STREET,1966,O1
BX,4060 BOSTON ROAD,1910,F5
BK,293 SCHOLES STREET,1960,F5
BX,740 BARRY STREET,1920,F5
QN,79-81 77 AVENUE,1949,F5
BK,468 BALTIC STREET,2013,F5
BK,258 BUTLER STREET,1931,F5
QN,88-16 77 AVENUE,1960,F5
BX,432 AUSTIN PLACE,1931,F5
BK,1002 BRIGHTON BEACH AVE,1942,O1
BK,169 WEST END AVENUE,1927,O1
BK,200 BANKER STREET,1931,F5
BX,2630 FINK AVENUE,1925,F5
BK,302 3 AVENUE,1931,O1
BK,236 25 STREET,1961,F5
BK,356 44 STREET,1936,F5
BK,250 46 STREET,1904,F5
BK,128 20 STREET,1930,F5
BK,287 PENN STREET,1931,F5
BK,231 INDIA STREET,1931,O1
BK,133 SUTTON STREET,1931,F5
BK,398 JOHNSON AVENUE,1920,F5
BK,263 58 STREET,1976,F5
BX,4551 WHITE PLAINS ROAD,1947,F5
BX,1246 SPOFFORD AVENUE,1930,F5
BK,359 SCHOLES STREET,1912,F5
BK,930 EAST 51 STREET,1931,F5
QN,32-44 FRANCIS LEWIS BLVD,1950,O1
BK,80 CONWAY STREET,1967,F5
BK,18 PRESTON COURT,2003,F5
BK,141 SACKMAN STREET,1921,F5
QN,36-08 REVIEW AVENUE,1920,F5
MN,4055 10 AVENUE,2007,O1
QN,72-35 ALMEDA AVENUE,1948,F5
BK,981 MCDONALD AVENUE,1982,F5
QN,493 BEACH 20 STREET,1931,O1
BX,279 EAST 139 STREET,1913,F5
BK,940 REMSEN AVENUE,1976,O1
BX,1550 STILLWELL AVENUE,1948,F5
BX,709 EAST 239 STREET,1984,F5
BX,168 EAST 144 STREET,1955,F5
QN,69-31 164 STREET,1954,O1
BK,4506 3 AVENUE,2006,F5
BX,548 THROGS NECK EXPWY,2002,O1
BK,395 EMPIRE BOULEVARD,1920,O1
BK,990 GRAND STREET,1920,F5
QN,38-03 24 STREET,1930,F5
BX,546 EAST 170 STREET,1931,F5
QN,192-05 192 STREET,1973,O1
BK,551 CRESCENT STREET,1923,O1
SI,1005 RICHMOND ROAD,1915,O1
BK,1943 PITKIN AVENUE,1930,F5
BX,708 EAST 135 STREET,1925,F5
BK,612 DEGRAW STREET,1920,F5
BX,1155 LEGGETT AVENUE,1920,F5
BX,2500 WILLIAMSBRIDGE ROAD,1984,O1
BK,680 LORIMER STREET,1930,O1
BK,385 HARMAN STREET,1931,F5
BX,717 EAST 135 STREET,2005,F5
BX,550 TRINITY AVENUE,1920,F5
BK,817 METROPOLITAN AVENUE,1920,F5
BX,2213 EAST TREMONT AVENUE,1950,O1
MN,479 WASHINGTON STREET,1910,F5
SI,1122 RICHMOND ROAD,1950,O1
BK,144 CENTRE STREET,1931,F5
BX,3876 PARK AVENUE,1931,F5
SI,440 SEAVIEW AVENUE,1984,O1
BX,605 EAST 132 STREET,1931,F5
BK,1061 ROCKAWAY AVENUE,1930,F5
BK,79 STEUBEN STREET,1957,F5
BX,245 EAST 137 STREET,1961,F5
BX,420 EAST 180 STREET,1997,F5
BX,2378 HUGHES AVENUE,1911,O1
BK,55 VAN DAM STREET,1964,F5
SI,470 PENDALE STREET,1970,O1
BK,617 SACKETT STREET,1931,F5
QN,120-08 JAMAICA AVENUE,1902,F5
