Borough,Address,Violation Type
MN,15 PARK AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,150 EAST 35 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,155 EAST 34 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,273 LEXINGTON AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,303 LEXINGTON AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,305 LEXINGTON AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,315 LEXINGTON AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,331 LEXINGTON AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,130 EAST 39 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,135 3 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,223 EAST 17 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,205 3 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,329 2 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,245 3 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,247 3 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,205 EAST 20 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,220 EAST 22 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,210 EAST 22 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,240 EAST 27 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,225 EAST 27 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,481 2 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,216 EAST 29 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,210 EAST 29 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,250 EAST 30 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,217 EAST 33 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,236 EAST 36 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,225 EAST 36 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,573 3 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,713 2 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,331 EAST 14 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,10 NATHAN D PERLMAN PL,LL11/98-LOCAL LAW 11/98 - FACADE
MN,295 1 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,444 2 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
