Borough,Address,Sale Date,Sale Price
MN,60 EAST END AVENUE,07/19/2019,2700000
MN,512 EAST 84 STREET,07/29/2019,550000
MN,45 CENTRAL PARK NORTH,07/29/2019,680000
MN,1150 5 AVENUE,07/01/2019,5430000
MN,1150 5 AVENUE,07/22/2019,2300000
MN,145 EAST 15 STREET,07/23/2019,1450000
MN,160 3 AVENUE,07/26/2019,0
MN,160 3 AVENUE,07/09/2019,920000
MN,121 EAST 24 STREET,08/01/2019,0
MN,330 3 AVENUE,07/02/2019,679000
MN,160 EAST 27 STREET,07/18/2019,718300
MN,150 EAST 27 STREET,07/22/2019,542000
MN,407 PARK AVENUE SOUTH,07/15/2019,768000
MN,407 PARK AVENUE SOUTH,07/25/2019,445000
MN,117 EAST 101 STREET,07/01/2019,385000
BX,1358 UNIVERSITY AVENUE,07/02/2019,864500
MN,34 HOWARD STREET,07/17/2019,0
MN,271 LEXINGTON AVENUE,07/08/2019,525000
MN,1834 3 AVENUE,07/09/2019,13400000
MN,117 EAST 37 STREET,07/18/2019,0
MN,117 EAST 37 STREET,07/18/2019,0
MN,117 EAST 37 STREET,07/18/2019,0
MN,117 EAST 37 STREET,07/18/2019,0
MN,117 EAST 37 STREET,07/18/2019,0
MN,117 EAST 37 STREET,07/18/2019,0
MN,117 EAST 37 STREET,07/18/2019,0
MN,117 EAST 37 STREET,07/18/2019,0
MN,117 EAST 37 STREET,07/18/2019,0
MN,117 EAST 37 STREET,07/18/2019,0
MN,117 EAST 37 STREET,07/18/2019,0
MN,117 EAST 37 STREET,07/18/2019,0
MN,117 EAST 37 STREET,07/18/2019,0
MN,117 EAST 37 STREET,07/18/2019,0
MN,117 EAST 37 STREET,07/18/2019,0
MN,205 3 AVENUE,07/25/2019,935000
MN,205 3 AVENUE,07/22/2019,805000
MN,205 3 AVENUE,07/02/2019,950000
MN,205 3 AVENUE,07/29/2019,850000
MN,211 EAST 18 STREET,07/31/2019,764000
MN,212 EAST 30 STREET,07/02/2019,0
